Spieler,Klub,Alter,Position,Nationalität
A. Saipi,FC Lugano,24,Torhüter,Kosovo / Schweiz
,,,,
L. Sahitaj,FC Winterthur,21,Verteidiger,Kosovo / Schweiz
,,,,
J. Sabobo,FC Zürich,19,Mittelfeldspieler,Sambia
,,,,
K. Rüegg,FC Basel 1893,26,Verteidiger,Schweiz / Kamerun
,,,,
Y. Ryter,FC Lugano,19,Mittelfeldspieler,Schweiz
,,,,
D. Rrudhani,FC Luzern,25,Mittelfeldspieler,Kosovo
,,,,
M. Rouiller,Yverdon Sport FC,19,Torhüter,Schweiz
,,,,
S. Rouiller,Servette FC,34,Verteidiger,Schweiz
,,,,
F. Rohner,FC Winterthur,26,Mittelfeldspieler,Schweiz
,,,,
Mauro Rodrigues,Yverdon Sport FC,23,Mittelfeldspieler,Guinea-Bissau / Portugal
,,,,
Ronaldo Tavares,Yverdon Sport FC,27,Stürmer,Portugal
,,,,
J. Roche,FC Lausanne-Sport,23,Mittelfeldspieler,Schweden
,,,,
D. Reverson,FC Zürich,21,Stürmer,Niederlande
,,,,
M. Reichmuth,FC Zürich,21,Mittelfeldspieler,Schweiz
,,,,
R. Raveloson,BSC Young Boys,28,Mittelfeldspieler,Madagaskar / Frankreich
,,,,
J. Quintillà,FC St.Gallen 1879,31,Mittelfeldspieler,Spanien
,,,,
F. Pseftis,FC Lugano,22,Torhüter,Griechenland
,,,,
K. Przybylko,FC Lugano,31,Stürmer,Polen / Deutschland
,,,,
N. Probst,FC St.Gallen 1879,20,Mittelfeldspieler,Schweiz
,,,,
M. Polster,FC Lausanne-Sport,22,Mittelfeldspieler,Österreich
,,,,
M. Poaty,FC Lausanne-Sport,27,Verteidiger,Kongo / Frankreich
,,,,
C. Piccini,Yverdon Sport FC,32,Verteidiger,Italien
,,,,
T. Pfeiffer,FC Basel 1893,19,Torhüter,Deutschland
,,,,
N. Persson,Grasshopper Club Zürich,21,Verteidiger,Schweden
,,,,
Keyan Varela,Servette FC,18,Stürmer,Portugal
,,,,
J. Perea,FC Zürich,25,Stürmer,Kolumbien
,,,,
M. Paskotsi,Grasshopper Club Zürich,22,Verteidiger,Estland
,,,,
I. Parra,FC Lausanne-Sport,17,Mittelfeldspieler,Schweiz
,,,,
A. Papadopoulos,FC Lugano,25,Verteidiger,Deutschland / Griechenland
,,,,
T. Owusu,FC Luzern,21,Mittelfeldspieler,Schweiz / Ghana
,,,,
F. Oviedo,FC Lausanne-Sport,21,Stürmer,Argentinien
,,,,
T. Ouattara,Servette FC,19,Stürmer,Schweiz / Elfenbeinküste
,,,,
S. Ottiger,FC Luzern,21,Verteidiger,Schweiz
,,,,
P. Otele,FC Basel 1893,25,Stürmer,Nigeria
,,,,
S. Osigwe,FC Lugano,30,Torhüter,Nigeria / Schweiz
,,,,
G. Ondoua,Servette FC,29,Mittelfeldspieler,Kamerun / Russland
,,,,
Kevin Carlos,FC Basel 1893,23,Stürmer,Spanien / Nigeria
,,,,
T. Okou,FC Lausanne-Sport,26,Stürmer,Frankreich / Elfenbeinküste
,,,,
C. Okoroji,FC St.Gallen 1879,27,Verteidiger,Deutschland
,,,,
A. Oko-Flex,FC Zürich,22,Stürmer,Republik Irland / England
,,,,
I. Okafor,FC Zürich,19,Mittelfeldspieler,Schweiz
,,,,
C. Nuñez,Yverdon Sport FC,27,Mittelfeldspieler,Paraguay
,,,,
M. Nuhu,FC St.Gallen 1879,28,Verteidiger,Ghana
,,,,
M. Ntelo,Yverdon Sport FC,23,Stürmer,Belgien / Demokratische Republik Kongo
,,,,
J. Nsame,FC St.Gallen 1879,31,Stürmer,Kamerun / Frankreich
,,,,
J. Nonge,Servette FC,19,Mittelfeldspieler,Belgien
,,,,
D. Ngonzo,FC Lausanne-Sport,19,Verteidiger,Schweiz / Demokratische Republik Kongo
,,,,
A. Ndoye,Servette FC,23,Stürmer,Senegal
,,,,
A. Ndiaye,FC Lugano,17,Torhüter,Schweiz
,,,,
T. Ndenge,Grasshopper Club Zürich,27,Mittelfeldspieler,Deutschland / Kamerun
,,,,
L. Mühl,FC Winterthur,28,Verteidiger,Deutschland
,,,,
D. Munroe,FC Zürich,16,Mittelfeldspieler,Schweiz
,,,,
G. Mulazzi,FC Sion,21,Verteidiger,Italien
,,,,
N. Muci,Grasshopper Club Zürich,22,Stürmer,Schweiz / Deutschland
,,,,
P. Moulin,FC Sion,21,Mittelfeldspieler,Schweiz
,,,,
K. Mouanga,FC Lausanne-Sport,24,Verteidiger,Kongo / Frankreich
,,,,
G. Morandi,Grasshopper Club Zürich,25,Mittelfeldspieler,Schweiz
,,,,
J. Monteiro,BSC Young Boys,25,Stürmer,Schweiz / Portugal
,,,,
A. Miranchuk,FC Sion,29,Mittelfeldspieler,Russland
,,,,
D. Mina,FC Lugano,19,Torhüter,Schweiz / Brasilien
,,,,
T. Meyer,Grasshopper Club Zürich,20,Mittelfeldspieler,Schweiz
,,,,
Metinho,FC Basel 1893,21,Mittelfeldspieler,Demokratische Republik Kongo / Brasilien
,,,,
B. Mendy,FC Zürich,30,Verteidiger,Frankreich / Senegal
,,,,
J. Mendes,FC Basel 1893,22,Verteidiger,Schweden / Demokratische Republik Kongo
,,,,
B. Mazikou,Servette FC,28,Verteidiger,Kongo / Frankreich
,,,,
E. Maurin,Grasshopper Club Zürich,23,Stürmer,Frankreich
,,,,
I. Mathew,FC Zürich,28,Mittelfeldspieler,Nigeria
,,,,
I. Maslarov,FC Lugano,18,Mittelfeldspieler,Schweiz / Mazedonien
,,,,
D. Marzino,BSC Young Boys,28,Torhüter,Schweiz
,,,,
K. Martin,Yverdon Sport FC,29,Torhüter,Schweiz
,,,,
J. Markelo,FC Zürich,22,Stürmer,Niederlande
,,,,
A. Marchesano,Yverdon Sport FC,34,Mittelfeldspieler,Schweiz
,,,,
F. Mambimbi,FC St.Gallen 1879,24,Stürmer,Schweiz
,,,,
J. Mall,Servette FC,33,Torhüter,Zypern / Schweiz
,,,,
D. Males,BSC Young Boys,23,Mittelfeldspieler,Schweiz
,,,,
L. Mai,FC Lugano,24,Verteidiger,Deutschland
,,,,
H. Mahou,FC Lugano,25,Mittelfeldspieler,Frankreich / Marokko
,,,,
H. Mahmoud,FC Lugano,24,Mittelfeldspieler,Tunesien
,,,,
M. Mahmoud,FC Zürich,20,Stürmer,Deutschland
,,,,
T. Magnin,Servette FC,21,Verteidiger,Schweiz
,,,,
R. Macek,FC Lugano,27,Mittelfeldspieler,Tschechische Republik
,,,,
L. Lüthi,FC Winterthur,21,Verteidiger,Schweiz
,,,,
J. Löfgren,FC Luzern,27,Verteidiger,Schweden
,,,,
J. Lukembila,FC Winterthur,25,Stürmer,Schweiz / Demokratische Republik Kongo
,,,,
P. Loretz,FC Luzern,21,Torhüter,Schweiz
,,,,
H. Lindner,FC Sion,34,Torhüter,Österreich
,,,,
C. Ligue,FC Zürich,19,Stürmer,Schweiz
,,,,
K. Letica,FC Lausanne-Sport,28,Torhüter,Kroatien
,,,,
L. Leroy,FC Basel 1893,25,Mittelfeldspieler,Frankreich
,,,,
B. Lekoueiry,FC Lausanne-Sport,19,Mittelfeldspieler,Mauretanien
,,,,
G. Lekaj,FC Winterthur,34,Verteidiger,Schweiz / Kosovo
,,,,
D. Leidner,FC Zürich,22,Verteidiger,Israel / Rumänien
,,,,
M. Legowski,Yverdon Sport FC,22,Mittelfeldspieler,Polen
,,,,
Lee Young-Jun,Grasshopper Club Zürich,21,Stürmer,Südkorea
,,,,
W. Le Pogam,Yverdon Sport FC,31,Verteidiger,Frankreich
,,,,
N. Lavanchy,FC Sion,31,Verteidiger,Schweiz
,,,,
S. Lauper,BSC Young Boys,28,Mittelfeldspieler,Schweiz
,,,,
B. Lasme,Grasshopper Club Zürich,26,Stürmer,Frankreich
,,,,
L. Lakomy,BSC Young Boys,24,Mittelfeldspieler,Polen
,,,,
M. Kuttin,Grasshopper Club Zürich,31,Torhüter,Österreich
,,,,
D. Kutesa,Servette FC,27,Mittelfeldspieler,Schweiz / Angola
,,,,
M. Kuster,FC Winterthur,31,Torhüter,Österreich
,,,,
M. Kryeziu,FC Zürich,28,Verteidiger,Kosovo / Schweiz
,,,,
J. Kronig,FC Sion,24,Verteidiger,Schweiz
,,,,
B. Krasniqi,FC Zürich,23,Mittelfeldspieler,Schweiz / Kosovo
,,,,
A. Krasniqi,FC Winterthur,21,Stürmer,Schweiz
,,,,
H. Kozarac,FC Luzern,18,Verteidiger,Schweiz
,,,,
G. Koutsias,FC Lugano,21,Stürmer,Griechenland
,,,,
Z. Kostadinovic,FC Zürich,32,Torhüter,Schweiz / Bosnien-Herzegowina
,,,,
C. Konietzke,FC St.Gallen 1879,18,Mittelfeldspieler,Schweiz
,,,,
V. Kongsro,Yverdon Sport FC,26,Verteidiger,Norwegen
,,,,
H. Komano,Yverdon Sport FC,24,Stürmer,Frankreich
,,,,
B. Kololli,FC Sion,32,Mittelfeldspieler,Kosovo / Schweiz
,,,,
K. Koindredi,FC Lausanne-Sport,23,Mittelfeldspieler,Frankreich
,,,,
S. Knezevic,FC Luzern,28,Verteidiger,Schweiz / Serbien
,,,,
T. Klidje,FC Luzern,23,Stürmer,Togo
,,,,
S. Kittel,Grasshopper Club Zürich,32,Mittelfeldspieler,Deutschland / Polen
,,,,
M. Keller,BSC Young Boys,22,Torhüter,Schweiz / England
,,,,
P. Kasami,FC Sion,32,Mittelfeldspieler,Schweiz
,,,,
S. Karweina,FC Luzern,25,Stürmer,Deutschland
,,,,
G. Karlen,FC St.Gallen 1879,30,Mittelfeldspieler,Schweiz
,,,,
S. Kapino,FC Winterthur,30,Torhüter,Griechenland
,,,,
D. Kamenovic,Yverdon Sport FC,24,Verteidiger,Serbien
,,,,
L. Kamberi,FC Zürich,25,Verteidiger,Schweiz / Kosovo
,,,,
J. Kadák,FC Luzern,24,Mittelfeldspieler,Slowakei
,,,,
A. Kade,FC Basel 1893,21,Mittelfeldspieler,Deutschland
,,,,
D. Kacuri,Yverdon Sport FC,21,Mittelfeldspieler,Schweiz / Kosovo
,,,,
L. Kabashi,Grasshopper Club Zürich,17,Stürmer,Schweiz
,,,,
A. Kabacalman,FC Sion,29,Mittelfeldspieler,Schweiz / Türkei
,,,,
B. Joseph,FC Sion,19,Mittelfeldspieler,Haiti / USA
,,,,
S. Janko,BSC Young Boys,29,Verteidiger,Gambia / Schweiz
,,,,
A. Jankewitz,FC Winterthur,23,Mittelfeldspieler,Schweiz / Kamerun
,,,,
C. Itten,BSC Young Boys,28,Stürmer,Schweiz
,,,,
N. Irankunda,Grasshopper Club Zürich,19,Stürmer,Australien
,,,,
K. Imeri,BSC Young Boys,24,Mittelfeldspieler,Schweiz / Kosovo
,,,,
S. Huber,FC Zürich,19,Torhüter,Schweiz
,,,,
T. Hottiger,FC Lausanne-Sport,19,Torhüter,Schweiz
,,,,
S. Hodza,FC Zürich,21,Verteidiger,Schweiz
,,,,
M. Hitz,FC Basel 1893,37,Torhüter,Schweiz
,,,,
N. Hefti,FC Sion,25,Verteidiger,Schweiz
,,,,
I. Hassane,Grasshopper Club Zürich,21,Mittelfeldspieler,Benin
,,,,
J. Hammel,Grasshopper Club Zürich,24,Torhüter,Schweiz
,,,,
K. Hajrizi,FC Sion,25,Verteidiger,Kosovo / Schweiz
,,,,
A. Hajdari,FC Lugano,21,Verteidiger,Schweiz / Kosovo
,,,,
J. Hadjam,BSC Young Boys,21,Verteidiger,Algerien / Frankreich
,,,,
L. Görtler,FC St.Gallen 1879,30,Mittelfeldspieler,Deutschland
,,,,
M. Gómez,FC Zürich,26,Verteidiger,Argentinien
,,,,
J. Guillemenot,Servette FC,27,Stürmer,Schweiz / Frankreich
,,,,
M. Grødem,Yverdon Sport FC,26,Mittelfeldspieler,Norwegen
,,,,
N. Grognuz,FC Sion,19,Verteidiger,Schweiz
,,,,
A. Grgic,FC Lugano,28,Mittelfeldspieler,Schweiz / Kroatien
,,,,
A. Grbic,FC Luzern,28,Stürmer,Österreich / Kroatien
,,,,
F. Goure,FC Zürich,22,Stürmer,Elfenbeinküste
,,,,
C. Gomis,FC Winterthur,24,Stürmer,Senegal / Spanien
,,,,
N. Godwin,FC Sion,21,Torhüter,Schweiz
,,,,
J. Gnakpa,Yverdon Sport FC,20,Verteidiger,Frankreich
,,,,
